The [entries] sheet shows the entries for words with IDs ending in "01" (201, 4701, 53401, etc) 
from the collocates table that is used to create the frequency listings that are based on the 
Corpus of Contemporary American English (COCA).

The complete list is available for purchase. See:

http://www.wordfrequency.info [Purchase]

There are minimum values in terms of collocate frequency and Mutual Information (MI) score
for inclusion in the list.

Mutual Information:
ID 1-5 : MI > -3.5
ID 6-29 : MI > -1
ID: 30-99 : ID > 1
ID: 100-30,000 : ID > 2
ID: 30,000-60,000 : ID > 3

Collocate frequency:
ID 1-40,000 : freq >= 2
ID 40,000-60,000 : freq >= 1

---------------------------------------------

The column [% coll < node] refers to the percentage of the tokens for
this collocate and node word where the collocate precedes the node word.

The node and collocate part of speech (PoS) tags can be found at http://ucrel.lancs.ac.uk/claws7tags.html.

For more information:

http://www.wordfrequency.info: Word frequent lists
http://www.americancorpus.org: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies



ID	lemma	lemPoS	coll	collPoS	MI	freq	[% coll < node]
201	government	n	local	j	3.6	4137	0.9201
201	government	n	agency	n	3.99	3341	0.1082
201	government	n	policy	n	2.88	2928	0.2332
201	government	n	central	j	3.25	1851	0.9271
201	government	n	state	v	2.94	1348	0.8261
201	government	n	role	n	2.02	1310	0.5934
201	government	n	private	j	2.45	1246	0.244
201	government	n	regulation	n	3.73	1109	0.1104
201	government	n	foreign	j	2.34	1079	0.7045
201	government	n	support	n	2.02	1022	0.4126
201	government	n	spending	n	4.19	976	0.1085
201	government	n	democratic	j	2.51	967	0.874
201	government	n	control	v	2.35	790	0.3791
201	government	n	employee	n	2.25	762	0.1654
201	government	n	institution	n	2.27	739	0.3503
201	government	n	authority	n	2.06	738	0.3058
201	government	n	branch	n	3.31	718	0.9381
201	government	n	force	v	2.11	709	0.5209
201	government	n	establish	v	2.04	703	0.4061
201	government	n	intervention	n	3	598	0.113
201	government	n	subsidy	n	4.71	596	0.1052
201	government	n	reform	n	2.12	588	0.2671
201	government	n	funding	n	3.3	587	0.1886
201	government	n	coalition	n	3.29	579	0.829
201	government	n	responsibility	n	2.07	578	0.4372
201	government	n	contract	n	2.27	555	0.2389
201	government	n	citizen	n	2.04	555	0.4884
201	government	n	announce	v	2.12	531	0.1493
201	government	n	interim	j	5.45	506	0.9725
201	government	n	elect	v	3.08	479	0.7359
201	government	n	assistance	n	2.83	455	0.2795
201	government	n	official	j	2.63	448	0.6414
201	government	n	responsible	j	2.11	442	0.3318
201	government	n	bond	n	2.39	441	0.1135
